[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Flag
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 4.500000 Y 2.000000 Z 2.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Flag.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Pipe
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.000000 Y 2.000000 Z 5.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Pipe.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Pipe.001
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.000000 Y 4.000000 Z 5.700000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Pipe.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Pipe.002
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.700000 Y 3.000000 Z 5.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Pipe.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Crate
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 5.000000 Y 3.000000 Z 3.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Crate.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Crate.001
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 6.200000 Y 3.000000 Z 3.000000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Crate.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Crate.002
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 5.500000 Y 4.000000 Z 3.500000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Crate.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Crate.003
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 5.500000 Y 3.000000 Z 4.100000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Crate.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: Key
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Location: X 0.000000 Y 7.500000 Z -1.500000
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	H2B Imported: ../Assets/ModelH2Bs/Key.h2b
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Jun 14 19:33:30 2023] ThreadID[23996]	[INFO]	Model Detected: MovingPlatform
